assessment_name,url,remote_testing,adaptive,test_type,fact_sheet_url,fact_sheet_text
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,True,False,"A, E, B, C, D, P",,
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,True,True,K,https://service.shl.com/docs/Fact_Sheet-dotnet_framework_4.5.pdf,"© 2018 SHL  and/or its affiliates. All rights reserved.  | Page 1 of 2 www.shl.com  
 
.NET Framework 4.5  
Assessment  Fact Sheet  
 
Overview  The .NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced 
users.  
Job Family/Title  Programmers, Application Developers  
   
Details  Average Testing Time (minutes)  26 minutes  
Allowed Time (minutes)  90 minutes  
Maximum Number of Questions  30 questions  
 Number of Sittings  One 
 Designed for Unproctored Environment  Yes 
 Question Format  Multiple Choice - Adaptive  
 Product Category  Information Technology  
 
Knowledge, 
Skills, Abilities 
and 
Competencies 
Measured  
 The following areas are covered:  
 Application Development  
 Application Foundations  
 Data Modelling  
 Deployment  
 Diagnostics  
 Performance  
 Portability  
 Security  
 
 
© 2018 SHL  and/or its affiliates. All rights reserved.  | Page 2 of 2 www.shl.com  
 
Example 
Question s 
 
 
Example 
Report s"
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,True,False,K,https://service.shl.com/docs/.NET MVC (New).pdf,"Assessment Fact Sheet
Details LanguageRele vant Job RolesOverview
Maximum Number of QuestionsAver age T esting Time (minutes)
Test T ypeAllowed Time (minutes)
Sector
Scor es Reported
O*NET Competencyquestionsminutes
minutes
© 2020 SHL and/or its affiliates. All rights reserved. | Page 1 of 1 www.shl.com
Knowledge, Skills, 
Abilities And 
Competencies 
MeasuredThe following areas are covered:Number of Sittings.NET MVC
Multi-choice test that measur es the kno wledge of Model-Vie w-Contr oller (MV C) ar chitectur e, 
validation, security , routing, and ar eas.
English (US)
.Net Developer, Software Developer, Software Engineer, 
Application Developer, Technical Architect, Full Stack 
Developer
• MV C architectur e 
• MV C life cycle 
• Inversion of contr ol and dependency injection 
• Folder structur e 
• Contr ollers, actions, and ﬁlters 
• Coupled and de-coupled classes 
• Data models and model binding 
• Vie ws, partial vie ws, and r azors 
• MV C scaﬀolding and HTML helpers 
• Route table formation 
• Caching and sessions 
• Validations and e xception handling 
• Authentication, authorization, and anti for gery tok en2017
30
Multiple Choice - CTT
Information Technology
Programming
• Over all Scor e 
• MV C Architectur e  
• Models, Vie ws and Contr ollers  
• Routing and Ar eas  
• Validation and SecurityOne"
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,True,False,K,https://service.shl.com/docs/.NET MVVM (New).pdf,"Assessment Fact Sheet
Details LanguageRele vant Job RolesOverview
Maximum Number of QuestionsAver age T esting Time (minutes)
Test T ypeAllowed Time (minutes)
Sector
Scor es Reported
O*NET Competencyquestionsminutes
minutes
© 2020 SHL and/or its affiliates. All rights reserved. | Page 1 of 1 www.shl.com
Knowledge, Skills, 
Abilities And 
Competencies 
MeasuredThe following areas are covered:Number of Sittings.NET MVVM
Multi-choice test that measur es the kno wledge of MVVM pattern, scenarios, data validation, 
ViewModel communication and Quick-start.
English (US)
.Net Developer, Software Developer, Software Engineer, 
Application Developer, Technical Architect, Full Stack 
Developer
• Model Vie w Communication 
• WPF data bindings 
• Events 
• Validations0705
07
Multiple Choice - CTT
Information Technology
Programming
• Over all Scor e One"
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,True,False,K,https://service.shl.com/docs/.NET WCF (New).pdf,"Assessment Fact Sheet
Details LanguageRele vant Job RolesOverview
Maximum Number of QuestionsAver age T esting Time (minutes)
Test T ypeAllowed Time (minutes)
Sector
Scor es Reported
O*NET Competencyquestionsminutes
minutes
© 2020 SHL and/or its affiliates. All rights reserved. | Page 1 of 1 www.shl.com
Knowledge, Skills, 
Abilities And 
Competencies 
MeasuredThe following areas are covered:Number of Sittings.NET WCF
Multi-choice test that measur es the kno wledge of .NET fundamentals, W CF ar chitectur e, 
programming model, SO A, managing and pr ogramming W CF.
English (US)
.Net Developer - WCF, Software Developer, Software 
Engineer, Application Developer, Technical Architect, Full 
Stack Developer
• Language fundamentals, contr ol statements and methods 
• Object-oriented pr ogramming and e xception handling 
• Collections 
• Services and contr acts 
• Messages, channels, behaviors 
• Message logging, hosting 
• Addr esses and bindings 
• Clients and r eliable sessions 
• Transactions, tr ansfer modes, and security1111
15
Multiple Choice - CTT
Information Technology
Programming
• Over all Scor e 
• .NET Basics 
 • WCF Ar chitectur e and Management 
 • Programming W CFOne"
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,True,False,K,https://service.shl.com/docs/.NET WPF (New).pdf,"Assessment Fact Sheet
Details LanguageRele vant Job RolesOverview
Maximum Number of QuestionsAver age T esting Time (minutes)
Test T ypeAllowed Time (minutes)
Sector
Scor es Reported
O*NET Competencyquestionsminutes
minutes
© 2020 SHL and/or its affiliates. All rights reserved. | Page 1 of 1 www.shl.com
Knowledge, Skills, 
Abilities And 
Competencies 
MeasuredThe following areas are covered:Number of Sittings.NET WPF
Multi-choice test that measur es the kno wledge of .NET basics, WPF , XAML contr ols, e vents, layouts, 
working with WPF windo ws/menus and deplo ying WPF applications.
English (US)
.Net WPF Developer, Software Developer - WPF, Software 
Engineer, Application Developer, Technical Architect, Full 
Stack Developer
• Language fundamentals, contr ol statements and methods 
• Object-oriented pr ogramming and e xception handling 
• Collections 
• Application and user interface 
• XAML and its layout elements and e vents 
• Working with WPF contr ols, styles, triggers and contr ol templates 
• Working with WPF windo ws and menus 
• Working with multimedia, gr aphics and animations 
• Data binding, commands and MVVM 
• Deplo ying WPF applications1109
15
Multiple Choice - CTT
Information Technology
Programming
• Over all Scor e 
• Intr oduction to .NET  
• WPF Featur es and XAML  
• Structur e and Deplo ymentOne"
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,True,False,K,https://service.shl.com/docs/.NET XAML (New).pdf,"Assessment Fact Sheet
Details LanguageRele vant Job RolesOverview
Maximum Number of QuestionsAver age T esting Time (minutes)
Test T ypeAllowed Time (minutes)
Sector
Scor es Reported
O*NET Competencyquestionsminutes
minutes
© 2020 SHL and/or its affiliates. All rights reserved. | Page 1 of 1 www.shl.com
Knowledge, Skills, 
Abilities And 
Competencies 
MeasuredThe following areas are covered:Number of Sittings.NET XAML
Multi-choice test that measur es the kno wledge of XAML triggers, data binding, custom contr ols and 
layouts.
English (US)
.Net Developer, Software Developer, Software Engineer, 
Application Developer, Technical Architect, Full Stack 
Developer
• Namespaces 
• Extensions and tags 
• Resour ces 
• Layouts 
• Contr ols 
• Event handlers 
• Triggers0705
07
Multiple Choice - CTT
Information Technology
Programming
• Over all Scor e One"
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,True,False,K,https://service.shl.com/docs/Accounts Payable (New).pdf,"Assessment Fact Sheet
Details LanguageRele vant Job RolesOverview
Maximum Number of QuestionsAver age T esting Time (minutes)
Test T ypeAllowed Time (minutes)
Sector
Scor es Reported
O*NET Competencyquestionsminutes
minutes
© 2020 SHL and/or its affiliates. All rights reserved. | Page 1 of 1 www.shl.com
Knowledge, Skills, 
Abilities And 
Competencies 
MeasuredThe following areas are covered:Number of SittingsAccounts Payable
Multi-choice test that measur es the kno wledge of pr ocessing payables and vendor invoices, and the 
posting of journal entries.
English (US)
Accounts Payable Specialist, Bookkeeping, Accounting, 
and Auditing Clerk, Statement Clerk, Billing, Cost, and Rate 
Clerks
• Accounts payable end-to-end pr ocess 
• AP vendor master 
• Accounting principles 
• AP invoice pr ocessing 
• AP payment pr ocessing 
• Claims management1209
15
Multiple Choice - CTT
Accounting and Finance
Economics and Accounting
• Over all Scor e 
• Accounts Payable Fundamentals   
• Accounting Principles  
• Payment SettlementOne"
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,True,False,S,https://service.shl.com/docs/Accounts Payable Simulation (New).pdf,"Assessment Fact Sheet
Details LanguageRele vant Job RolesOverview
Maximum Number of QuestionsAver age T esting Time (minutes)
Test T ypeAllowed Time (minutes)
Sector
Scor es Reported
O*NET Competencyquestionsminutes
minutes
© 2020 SHL and/or its affiliates. All rights reserved. | Page 1 of 1 www.shl.com
Knowledge, Skills, 
Abilities And 
Competencies 
MeasuredThe following areas are covered:Number of SittingsAccounts Payable Simulation
Simulated data entry test that measur es the ability to pr ocess payables and vendor invoices.
English (US)
Accounts Payable Specialist, Bookkeeping, Accounting, 
and Auditing Clerk, Statement Clerk, Billing, Cost, and Rate 
Clerks
• Pur chase or ders  
• Invoices and claims 
• Expense vouchers0308
10
Simulation
Accounting and Finance
Economics and Accounting
• Over all Scor e One"
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,True,False,K,https://service.shl.com/docs/Accounts Receivable (New).pdf,"Assessment Fact Sheet
Details LanguageRele vant Job RolesOverview
Maximum Number of QuestionsAver age T esting Time (minutes)
Test T ypeAllowed Time (minutes)
Sector
Scor es Reported
O*NET Competencyquestionsminutes
minutes
© 2020 SHL and/or its affiliates. All rights reserved. | Page 1 of 1 www.shl.com
Knowledge, Skills, 
Abilities And 
Competencies 
MeasuredThe following areas are covered:Number of SittingsAccounts Receivable
Multi-choice test that measur es the kno wledge of pr ocessing r eceivables and invoices.
English (US)
Accounts Receivable Specialist, Bill and Account 
Collectors, Bookkeeping, Accounting, and Auditing Clerks, 
Statement Clerks, Billing, Cost, and Rate Clerks, Collection 
Agent
• Credit management 
• OTC end-to-end cycle 
• Cash applications 
• Collections 
• Deductions 
• Journal entries 
• Billing and or der management 
• Master data management1213
15
Multiple Choice - CTT
Accounting and Finance
Economics and Accounting
• Over all Scor e 
• Accounts Receivable Fundamentals  
• Cash Management  
• Client ManagementOne"
