Query ID,Query,Recommendation Rank,Assessment Name,URL,Score,Test Type,Duration,Job Level,Remote Support
1,I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.,1,Java Platform Enterprise Edition 7 (Java EE 7),https://www.shl.com/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,1.0235710144042969,K,Approximate Completion Time in minutes = 30,"Mid-Professional, Professional Individual Contributor,",True
1,I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.,2,Java Design Patterns (New),https://www.shl.com/products/product-catalog/view/java-design-patterns-new/,0.9790388345718384,K,Approximate Completion Time in minutes = 5,"Mid-Professional, Professional Individual Contributor,",True
1,I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.,3,Java Frameworks (New),https://www.shl.com/products/product-catalog/view/java-frameworks-new/,0.9505223035812378,K,Approximate Completion Time in minutes = 17,"Mid-Professional, Professional Individual Contributor,",True
1,I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.,4,Java Web Services (New),https://www.shl.com/products/product-catalog/view/java-web-services-new/,0.9348813891410828,K,Approximate Completion Time in minutes = 8,"Mid-Professional, Professional Individual Contributor,",True
1,I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.,5,Automata (New),https://www.shl.com/products/product-catalog/view/automata-new/,0.9322205781936646,S,Approximate Completion Time in minutes = max 45,"Mid-Professional, Professional Individual Contributor,",True
1,I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.,6,Automata Pro (New),https://www.shl.com/products/product-catalog/view/automata-pro-new/,0.9319148063659668,S,Approximate Completion Time in minutes = max 60,"Mid-Professional, Professional Individual Contributor,",True
1,I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.,7,Core Java (Entry Level) (New),https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/,0.9317036867141724,K,Approximate Completion Time in minutes = 13,"Mid-Professional, Professional Individual Contributor,",True
1,I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.,8,Smart Interview Live Coding,https://www.shl.com/products/product-catalog/view/smart-interview-live-coding/,0.915952205657959,K,Approximate Completion Time in minutes = Variable,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Entry-Level,",True
1,I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.,9,Java 8 (New),https://www.shl.com/products/product-catalog/view/java-8-new/,0.9125351905822754,K,Approximate Completion Time in minutes = 18,"Mid-Professional, Professional Individual Contributor",True
1,I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.,10,Core Java (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/,0.9034859538078308,K,Approximate Completion Time in minutes = 13,"Mid-Professional, Professional Individual Contributor,",True
2,I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.,1,Java Platform Enterprise Edition 7 (Java EE 7),https://www.shl.com/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,1.0227949619293213,K,Approximate Completion Time in minutes = 30,"Mid-Professional, Professional Individual Contributor,",True
2,I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.,2,Java Design Patterns (New),https://www.shl.com/products/product-catalog/view/java-design-patterns-new/,0.9787620306015015,K,Approximate Completion Time in minutes = 5,"Mid-Professional, Professional Individual Contributor,",True
2,I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.,3,Java Frameworks (New),https://www.shl.com/products/product-catalog/view/java-frameworks-new/,0.9503788948059082,K,Approximate Completion Time in minutes = 17,"Mid-Professional, Professional Individual Contributor,",True
2,I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.,4,Java Web Services (New),https://www.shl.com/products/product-catalog/view/java-web-services-new/,0.9349673986434937,K,Approximate Completion Time in minutes = 8,"Mid-Professional, Professional Individual Contributor,",True
2,I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.,5,Automata (New),https://www.shl.com/products/product-catalog/view/automata-new/,0.9322818517684937,S,Approximate Completion Time in minutes = max 45,"Mid-Professional, Professional Individual Contributor,",True
2,I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.,6,Automata Pro (New),https://www.shl.com/products/product-catalog/view/automata-pro-new/,0.9319750070571899,S,Approximate Completion Time in minutes = max 60,"Mid-Professional, Professional Individual Contributor,",True
2,I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.,7,Core Java (Entry Level) (New),https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/,0.9318116903305054,K,Approximate Completion Time in minutes = 13,"Mid-Professional, Professional Individual Contributor,",True
2,I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.,8,Smart Interview Live Coding,https://www.shl.com/products/product-catalog/view/smart-interview-live-coding/,0.9167430400848389,K,Approximate Completion Time in minutes = Variable,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Entry-Level,",True
2,I am hiring for Java developers who can also collaborate effectively with my business teams. Looking for an assessment(s) that can be completed in 40 minutes.,9,Java 8 (New),https://www.shl.com/products/product-catalog/view/java-8-new/,0.9124720096588135,K,Approximate Completion Time in minutes = 18,"Mid-Professional, Professional Individual Contributor",True
